gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
KRAS,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Gastric cancer; pathway context: RAS-MAPK signaling.
MDM2,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Gastric cancer; pathway context: p53 pathway.
MDM4,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Gastric cancer; pathway context: p53 pathway.
MET,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Gastric cancer; pathway context: RTK signaling.
MLH1,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Gastric cancer; pathway context: Mismatch repair / MSI.
MSH2,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Gastric cancer; pathway context: Mismatch repair / MSI.
MSH6,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Gastric cancer; pathway context: Mismatch repair / MSI.
MSLN,Gastric cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Gastric cancer; pathway context: Tumor antigen / adhesion.
MTOR,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Gastric cancer; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Gastric cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Gastric cancer; pathway context: Epithelial antigen / mucin biology.
MUC16,Gastric cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Gastric cancer; pathway context: Epithelial antigen / mucin biology.
MYC,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Gastric cancer; pathway context: MYC/proliferation program.
NECTIN4,Gastric cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Gastric cancer; pathway context: Tumor antigen.
NFE2L2,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Gastric cancer; pathway context: Oxidative stress / NRF2.
NOTCH1,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Gastric cancer; pathway context: Notch signaling.
NOTCH2,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Gastric cancer; pathway context: Notch signaling.
NRAS,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Gastric cancer; pathway context: RAS-MAPK signaling.
PALB2,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Gastric cancer; pathway context: DNA repair / HRD.
PDCD1LG2,Gastric cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Gastric cancer; pathway context: Immune checkpoint.
PIK3CA,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Gastric cancer; pathway context: PI3K-AKT signaling.
PIK3R1,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Gastric cancer; pathway context: PI3K-AKT signaling.
PMS2,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Gastric cancer; pathway context: Mismatch repair / MSI.
PTEN,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Gastric cancer; pathway context: PI3K-AKT signaling.
RAD51,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Gastric cancer; pathway context: DNA repair / HRD.
RB1,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Gastric cancer; pathway context: Cell cycle.
SMAD4,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Gastric cancer; pathway context: TGF-beta signaling.
SMARCA4,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Gastric cancer; pathway context: Chromatin remodeling.
SMARCB1,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Gastric cancer; pathway context: Chromatin remodeling.
TERT,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Gastric cancer; pathway context: Telomere maintenance.
TGFBR2,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Gastric cancer; pathway context: TGF-beta signaling.
TP53,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Gastric cancer; pathway context: Tumor-suppressor pathway.
TROP2,Gastric cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Gastric cancer; pathway context: Tumor antigen.
VEGFA,Gastric cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Gastric cancer; pathway context: Angiogenesis / microenvironment.
AKT1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Head and neck cancer; pathway context: PI3K-AKT signaling.
APC,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Head and neck cancer; pathway context: WNT signaling.
ARID1A,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Head and neck cancer; pathway context: Chromatin remodeling.
ARID1B,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Head and neck cancer; pathway context: Chromatin remodeling.
ATM,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Head and neck cancer; pathway context: DNA damage response.
ATR,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Head and neck cancer; pathway context: DNA damage response.
B2M,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Head and neck cancer; pathway context: Antigen presentation.
BRAF,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Head and neck cancer; pathway context: MAPK signaling.
BRCA1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Head and neck cancer; pathway context: DNA repair / HRD.
BRCA2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Head and neck cancer; pathway context: DNA repair / HRD.
CASP8,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CASP8 in Head and neck cancer; pathway context: Cancer-associated pathway context.
CCND1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Head and neck cancer; pathway context: Cell cycle.
CD274,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Head and neck cancer; pathway context: Immune checkpoint.
CD276,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Head and neck cancer; pathway context: Immune checkpoint / tumor antigen.
CDK4,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Head and neck cancer; pathway context: Cell cycle.
CDK6,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Head and neck cancer; pathway context: Cell cycle.
CDKN2A,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Head and neck cancer; pathway context: Cell cycle.
CDKN2B,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Head and neck cancer; pathway context: Cell cycle.
CHEK1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Head and neck cancer; pathway context: DNA damage response.
CHEK2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Head and neck cancer; pathway context: DNA damage response.
CLDN18,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Head and neck cancer; pathway context: Epithelial antigen / tight junction.
CREBBP,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Head and neck cancer; pathway context: Epigenetic regulation.
CTNNB1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Head and neck cancer; pathway context: WNT signaling.
EGFR,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Head and neck cancer; pathway context: RTK signaling.
EP300,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Head and neck cancer; pathway context: Epigenetic regulation.
EPCAM,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Head and neck cancer; pathway context: Epithelial antigen / adhesion.
ERBB2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Head and neck cancer; pathway context: RTK signaling.
ERBB3,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Head and neck cancer; pathway context: RTK signaling.
FAT1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: FAT1 in Head and neck cancer; pathway context: Cancer-associated pathway context.
FBXW7,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Head and neck cancer; pathway context: Protein turnover.
HIF1A,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Head and neck cancer; pathway context: Hypoxia / angiogenesis.
HRAS,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Head and neck cancer; pathway context: RAS-MAPK signaling.
JAK1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Head and neck cancer; pathway context: JAK-STAT / immune signaling.
JAK2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Head and neck cancer; pathway context: JAK-STAT / immune signaling.
KEAP1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Head and neck cancer; pathway context: Oxidative stress / NRF2.
KMT2C,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Head and neck cancer; pathway context: Epigenetic regulation.
KMT2D,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Head and neck cancer; pathway context: Epigenetic regulation.
KRAS,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Head and neck cancer; pathway context: RAS-MAPK signaling.
MDM2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Head and neck cancer; pathway context: p53 pathway.
MDM4,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Head and neck cancer; pathway context: p53 pathway.
MET,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Head and neck cancer; pathway context: RTK signaling.
MLH1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Head and neck cancer; pathway context: Mismatch repair / MSI.
MSH2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Head and neck cancer; pathway context: Mismatch repair / MSI.
MSH6,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Head and neck cancer; pathway context: Mismatch repair / MSI.
MSLN,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Head and neck cancer; pathway context: Tumor antigen / adhesion.
MTOR,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Head and neck cancer; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Head and neck cancer; pathway context: Epithelial antigen / mucin biology.
MUC16,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Head and neck cancer; pathway context: Epithelial antigen / mucin biology.
MYC,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Head and neck cancer; pathway context: MYC/proliferation program.
NECTIN4,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Head and neck cancer; pathway context: Tumor antigen.
NFE2L2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Head and neck cancer; pathway context: Oxidative stress / NRF2.
NOTCH1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Head and neck cancer; pathway context: Notch signaling.
NOTCH2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Head and neck cancer; pathway context: Notch signaling.
NRAS,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Head and neck cancer; pathway context: RAS-MAPK signaling.
PALB2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Head and neck cancer; pathway context: DNA repair / HRD.
PDCD1LG2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Head and neck cancer; pathway context: Immune checkpoint.
PIK3CA,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Head and neck cancer; pathway context: PI3K-AKT signaling.
PIK3R1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Head and neck cancer; pathway context: PI3K-AKT signaling.
PMS2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Head and neck cancer; pathway context: Mismatch repair / MSI.
PTEN,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Head and neck cancer; pathway context: PI3K-AKT signaling.
RAD51,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Head and neck cancer; pathway context: DNA repair / HRD.
RB1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Head and neck cancer; pathway context: Cell cycle.
SMAD4,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Head and neck cancer; pathway context: TGF-beta signaling.
SMARCA4,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Head and neck cancer; pathway context: Chromatin remodeling.
SMARCB1,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Head and neck cancer; pathway context: Chromatin remodeling.
TERT,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Head and neck cancer; pathway context: Telomere maintenance.
TGFBR2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Head and neck cancer; pathway context: TGF-beta signaling.
TP53,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Head and neck cancer; pathway context: Tumor-suppressor pathway.
TROP2,Head and neck cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Head and neck cancer; pathway context: Tumor antigen.
VEGFA,Head and neck cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Head and neck cancer; pathway context: Angiogenesis / microenvironment.
AKT1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Kidney clear cell carcinoma; pathway context: PI3K-AKT signaling.
APC,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Kidney clear cell carcinoma; pathway context: WNT signaling.
ARID1A,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Kidney clear cell carcinoma; pathway context: Chromatin remodeling.
ARID1B,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Kidney clear cell carcinoma; pathway context: Chromatin remodeling.
ATM,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Kidney clear cell carcinoma; pathway context: DNA damage response.
ATR,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Kidney clear cell carcinoma; pathway context: DNA damage response.
B2M,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Kidney clear cell carcinoma; pathway context: Antigen presentation.
BAP1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BAP1 in Kidney clear cell carcinoma; pathway context: Chromatin / DNA repair.
BRAF,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Kidney clear cell carcinoma; pathway context: MAPK signaling.
BRCA1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Kidney clear cell carcinoma; pathway context: DNA repair / HRD.
BRCA2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Kidney clear cell carcinoma; pathway context: DNA repair / HRD.
CCND1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Kidney clear cell carcinoma; pathway context: Cell cycle.
CD274,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Kidney clear cell carcinoma; pathway context: Immune checkpoint.
CD276,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Kidney clear cell carcinoma; pathway context: Immune checkpoint / tumor antigen.
CDK4,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Kidney clear cell carcinoma; pathway context: Cell cycle.
CDK6,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Kidney clear cell carcinoma; pathway context: Cell cycle.
CDKN2A,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Kidney clear cell carcinoma; pathway context: Cell cycle.
CDKN2B,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Kidney clear cell carcinoma; pathway context: Cell cycle.
CHEK1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Kidney clear cell carcinoma; pathway context: DNA damage response.
CHEK2,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Kidney clear cell carcinoma; pathway context: DNA damage response.
CLDN18,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Kidney clear cell carcinoma; pathway context: Epithelial antigen / tight junction.
CREBBP,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Kidney clear cell carcinoma; pathway context: Epigenetic regulation.
CTNNB1,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Kidney clear cell carcinoma; pathway context: WNT signaling.
EGFR,Kidney clear cell carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Kidney clear cell carcinoma; pathway context: RTK signaling.
